"family","datatype","execution_path","tile_shape","zvl","lmul","unroll","source_path","fallback_path","default_modes","notes"
"RVV_IGEMM_INT8_I8I32_8x4","INT8_TO_INT32","RVV","8x4","128b","1","8","GEMM_RVV_FP32_INT8_8x4_Baseline/RVV_IGEMM_INT8_I8I32_8x4/igemm_kernel_8x4_zvl128b_lmul1_unroll8/igemm_kernel_8x4_zvl128b_lmul1_unroll8_i8i32.c","","k1-rvv;k1-rvv-only;k3-rvv;local","INT8 RVV widening accumulation backend"
"RVV_IGEMM_INT8_I8I32_8x4","INT8_TO_INT32","RVV","8x4","128b","2","1","GEMM_RVV_FP32_INT8_8x4_Baseline/RVV_IGEMM_INT8_I8I32_8x4/igemm_kernel_8x4_zvl128b_lmul2_unroll1/igemm_kernel_8x4_zvl128b_lmul2_unroll1_i8i32.c","","k1-rvv;k1-rvv-only;k3-rvv;local","INT8 RVV widening accumulation backend"
"RVV_IGEMM_INT8_I8I32_8x4","INT8_TO_INT32","RVV","8x4","128b","2","2","GEMM_RVV_FP32_INT8_8x4_Baseline/RVV_IGEMM_INT8_I8I32_8x4/igemm_kernel_8x4_zvl128b_lmul2_unroll2/igemm_kernel_8x4_zvl128b_lmul2_unroll2_i8i32.c","","k1-rvv;k1-rvv-only;k3-rvv;local","INT8 RVV widening accumulation backend"
"RVV_IGEMM_INT8_I8I32_8x4","INT8_TO_INT32","RVV","8x4","128b","2","4","GEMM_RVV_FP32_INT8_8x4_Baseline/RVV_IGEMM_INT8_I8I32_8x4/igemm_kernel_8x4_zvl128b_lmul2_unroll4/igemm_kernel_8x4_zvl128b_lmul2_unroll4_i8i32.c","","k1-rvv;k1-rvv-only;k3-rvv;local","INT8 RVV widening accumulation backend"
"RVV_IGEMM_INT8_I8I32_8x4","INT8_TO_INT32","RVV","8x4","128b","2","8","GEMM_RVV_FP32_INT8_8x4_Baseline/RVV_IGEMM_INT8_I8I32_8x4/igemm_kernel_8x4_zvl128b_lmul2_unroll8/igemm_kernel_8x4_zvl128b_lmul2_unroll8_i8i32.c","","k1-rvv;k1-rvv-only;k3-rvv;local","INT8 RVV widening accumulation backend"
"RVV_IGEMM_INT8_I8I32_8x4","INT8_TO_INT32","RVV","8x4","128b","4","1","GEMM_RVV_FP32_INT8_8x4_Baseline/RVV_IGEMM_INT8_I8I32_8x4/igemm_kernel_8x4_zvl128b_lmul4_unroll1/igemm_kernel_8x4_zvl128b_lmul4_unroll1_i8i32.c","","k1-rvv;k1-rvv-only;k3-rvv;local","INT8 RVV widening accumulation backend"
"RVV_IGEMM_INT8_I8I32_8x4","INT8_TO_INT32","RVV","8x4","128b","4","2","GEMM_RVV_FP32_INT8_8x4_Baseline/RVV_IGEMM_INT8_I8I32_8x4/igemm_kernel_8x4_zvl128b_lmul4_unroll2/igemm_kernel_8x4_zvl128b_lmul4_unroll2_i8i32.c","","k1-rvv;k1-rvv-only;k3-rvv;local","INT8 RVV widening accumulation backend"
"RVV_IGEMM_INT8_I8I32_8x4","INT8_TO_INT32","RVV","8x4","128b","4","4","GEMM_RVV_FP32_INT8_8x4_Baseline/RVV_IGEMM_INT8_I8I32_8x4/igemm_kernel_8x4_zvl128b_lmul4_unroll4/igemm_kernel_8x4_zvl128b_lmul4_unroll4_i8i32.c","","k1-rvv;k1-rvv-only;k3-rvv;local","INT8 RVV widening accumulation backend"
"RVV_IGEMM_INT8_I8I32_8x4","INT8_TO_INT32","RVV","8x4","128b","4","8","GEMM_RVV_FP32_INT8_8x4_Baseline/RVV_IGEMM_INT8_I8I32_8x4/igemm_kernel_8x4_zvl128b_lmul4_unroll8/igemm_kernel_8x4_zvl128b_lmul4_unroll8_i8i32.c","","k1-rvv;k1-rvv-only;k3-rvv;local","INT8 RVV widening accumulation backend"
"RVV_IGEMM_INT8_I8I32_8x4","INT8_TO_INT32","RVV","8x4","128b","8","1","GEMM_RVV_FP32_INT8_8x4_Baseline/RVV_IGEMM_INT8_I8I32_8x4/igemm_kernel_8x4_zvl128b_lmul8_unroll1/igemm_kernel_8x4_zvl128b_lmul8_unroll1_i8i32.c","","k1-rvv;k1-rvv-only;k3-rvv;local","INT8 RVV widening accumulation backend"
